artist,album,title,year,CD,Download,image
Elena,Un cafe_ setanta matins,Setanta matins,0,1,,https://images-na.ssl-images-amazon.com/images/I/51Ga7D89OeL._SY355_.jpg
The Dillinger Escape Plan,Miss Machine,Setting Fire to Sleeping Giants,2004,,,http://www.angrymetalguy.com/wp-content/uploads/2014/07/The-Dilinger-Escape-Plan_Miss-Machine.jpg
SUE THOMPSON,Sue Thompson - Her Very Best,James (Hold The Ladder Steady),1985,,,https://images-na.ssl-images-amazon.com/images/I/51BcRox%2BiCL._SS500.jpg
Five Bolt Main,Live,Made Like This (Live),0,,,https://images-na.ssl-images-amazon.com/images/I/61PzAKFa42L.jpg
Clp,Strictly Confidential,Superconfidential,0,,1,
Tim Wilson,The Real Twang Thang,I Think My Wife Is Running Around On Me (Taco Hell),2005,1,,https://cps-static.rovicorp.com/3/JPG_500/MI0002/793/MI0002793283.jpg?partner=allrovi.com
Willie Bobo,Willie Bobo's Finest Hour,Spanish Grease,1997,,,https://images-na.ssl-images-amazon.com/images/I/41KGmAkzwnL._SY355_.jpg
Faye Adams,Shake A Hand,Crazy Mixed Up World,1961,,,https://www.popsike.com/pix/20090103/270325402028.jpg
Terry Callier,Occasional Rain,Do You Finally Need A Friend,1972,,1,https://img.discogs.com/ECPgRLpAgbNxsrjq2pkSqrgEdAI=/fit-in/600x582/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-3540451-1334492077.jpeg.jpg
John Wesley,The Emperor Falls,The Emperor Falls,0,1,,https://f4.bcbits.com/img/a1861458889_10.jpg
The Shangri-Las,Best of The Shangri-Las,Twist and Shout,1964,,,https://cps-static.rovicorp.com/3/JPG_500/MI0001/945/MI0001945639.jpg?partner=allrovi.com
Billie Jo Spears,20 Of Her Best,It Makes No Difference Now,1992,,,https://images-na.ssl-images-amazon.com/images/I/51pSnK1yqBL._SX355_.jpg
Mike Jones (Featuring CJ_ Mello & Lil' Bran),Who Is Mike Jones?,Laws Patrolling (Album Version),0,,,https://images.rapgenius.com/baf97618448524ecdeb6fd2cc8dda92b.500x500x1.jpg
Sierra Maestra,Tibiri Tabara,A?DA3nde va Chichi?,1997,,,https://t2.genius.com/unsafe/300x0/https%3A%2F%2Fimages.genius.com%2Fc216ca49f264db5877394c93ac4b4860.338x300x1.jpg
Butthole Surfers,Piouhgd + Widowermaker!,"Barking Dogs (From ""Piouhgd"")",0,,,
Despina Vandi,Profities,OUTE ENA EFHARISTO,0,,,https://static.qobuz.com/images/covers/95/66/0060254796695_600.jpg
Javier Navarrete,Cracks,Midnight Swim,0,,,https://moviemusicuk.files.wordpress.com/2010/10/cracks_cvs6993.jpg
Jacob Young,Pieces Of Time,In A Subtle Way,0,,,https://img.discogs.com/J3RqKdW3MFl2lq9e93_E-V7No28=/fit-in/599x602/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-3020735-1312058966.jpeg.jpg
Scarlet's Remains,The Palest Grey,Spin,2007,,,http://www.strobelight-shop.com/out/pictures/master/product/1/scarlets_remains-the_palest_grey.jpg
The Suicide Machines,A Match & Some Gasoline,Burning In The Aftermath,2003,,,https://direct.rhapsody.com/imageserver/images/Alb.61485651/500x500.jpg
The Rolling Stones,Jump Back - The Best Of The Rolling Stones_ '71-'93,Angie (1993 Digital Remaster),0,,,
Roberto Torres,Lo Mejor con La Orq. Broadway,Sabor Guajiro,0,,,
Loudon Wainwright III,Grown Man,Human Cannonball,1995,,,
R.L. Burnside,A Bothered Mind,Glory Be,2004,,,
Stevie Ray Vaughan,Greatest Hits,Crossfire,1992,1,1,
John Hammond,Bluesman,I Can't Be Satisfied,2002,,,
Casiotone For The Painfully Alone,Etiquette,Nashville Parthenon,2006,,,
Ec8or,Ec8or,Cocain Ducks,1995,,,
The New York Dolls,Too Much Too Soon,Human Being,1974,,,
Eliane Elias,Bossa Nova Stories,The More I See You,2009,,,
Lost Boyz,Love_ Peace & Nappiness,Certain Things We Do,1997,,,
The Germs,Germicide,Forming,1977,1,,
Yamandu Costa,MafuA!,MafuA!,0,,,
Chris Rea,The Road To Hell Part 2,Driving Home For Christmas,1986,,,
Perrey And Kingsley,Vanguard Visionaries,Spooks In Space,1966,,,
Eurythmics,Be Yourself Tonight,Tous Les GarASSons Et Les Filles,1985,,,
Francis Dunnery,Hometown 2001,Too Much Saturn,1995,,,
John Cale,Eat / Kiss: Music For The Films By Andy Warhol,Movement 4 [from Kiss] (Album Version),1997,,,
Suzanne Ciani,The Ultimate Most Relaxing New Age Piano in the Universe,Stream,0,1,1,
Vickie Winans,Classic Gold: Best of All,Make Me Over,0,,,
The Berzerker,The Berzerker,Deform (live),2000,,,
Kings Of Leon,Holy Roller Novocaine,Wicker Chair,2003,,,
Edith Lefel,Jeux de dames_ vol. 1 (rA(c)alisation Ronald Rubinel),An ti chans',0,,,
Taras,I Will Love Again,I Will Love Again (JJ's Club Radio),0,,,
NOFX,White Trash ......,Stickin In My Eye,1992,,,
Murskahumppa,Murskapunkkia,Ota kiinni,0,,,
Soda Stereo,CanciA3n Animal,Entre CanAbales,1990,,,
Bruce Rowland,The Man from Snowy River,Rosemary Recalls,1985,,,
Xcultures,One World One People,Sudanese Dance,2000,,,
White Heart,Tales Of Wonder,Where The Thunder Roars (Tales Of Wonder Album Version),0,,,
Heavy D / McGruff,Waterbed Hev,Wanna Be A Player,1997,,,
Van Halen,The Best Of Both Worlds,Panama (Remastered Album Version),0,,,
Black Eyed Peas,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Let's Get It Started,2004,,,
Nine Inch Nails,Things Falling Apart,Metal,2000,,,
Nick Cave & The Bad Seeds,Your Funeral... My Trial (2009 Digital Remaster),She Fell Away (2009 Digital Remaster),0,,,
Nadine Renee,Oasis of Love,Next Time,0,,1,
Lesley Gore,60's Triple set,It's My Party,1963,,,
Smartbomb,Yeah.  Well_ Anyway....,Complicate It,2001,1,,
Suburbs,Un Titre de Toune,Monde De Fou,2005,,,
Emperor,Live Inferno,Opus a Satana (Part 2),0,,,
Julien Clerc,Vendredi 13 - 1981,This Melody (Live),0,,,
Glen Campbell,Unconditional Love,I'm Gone This Time,0,,,
T.G. Sheppard,The Very Best Of,You Feel Good All Over,2002,,,
Slim Whitman,Country Lovers. Vol. 3,Indian Love Call,1990,,,
Savage Garden,Affirmation,You Can Still Be Free,1999,,,
Queens Of The Stone Age,Lullabies To Paralyze,I Never Came,2005,,,
Hank Penny & The Lincoln Penny Orchestra,It's War Again,Dixie,0,,,
Inspiral Carpets,The Singles,Commercial Reign,1990,,,
Borialis,What You Thought You Heard,Hourglass,0,,,
The Dirty Skirts,Daddy Don't Disco,Wake,0,,,
Flor Silvestre,15 Exitos Vol. 2 Flor Silvestre,Caricia Y Herida,0,,,
BA(c)zu,"Le top du pA""re NAPel",Le tortillard,0,,,
Redman,Malpractice,WKYA (drop),2001,,,
Solistiyhtye Suomi,20 Suosikkia / Rilluttele yAP,TerA$?slintu,0,,,
Eddie Cantor,The Fabulous Eddie Cantor,Now's The Time To Fall In Love,0,,,
Schizoid,Grim Prospects Remixes - Grim Prospects Will Never End,Grim Prospects (Gross Prospects - Bad Trip Remix),0,,,
Kai Winding,The Incredible Kai Winding Trombones,Mangos,1961,,,
Sonny Simmons,Staying on the Watch,A Distant Voice,0,,,
Mira,Openbare Weg,Openbare Weg,2006,,,
Citizen Kaned,Tip World Singles 2000,President Johnson,2000,,,
The Brooklyn Tabernacle Choir,Praise Him...Live!,Lead Me Lord,1995,,,
Ellen McIlwaine,Spontanous Combustion,Spontanous Combustion,0,,,
Vince Guaraldi / Bola Sete,From All Sides,Choro,0,,,
Maurice Chevalier,Maurice Chevalier  The Essential Collection Vol 1,Ma Louise,0,,,
Carl Cox Vs Yousef,Dave Pearce Best of the Dance Years 1988 - 1992,I Want You (Forever),1991,,,
Organized Konfusion,The Equinox,Hate,1997,,1,
Martina McBride,Timeless,I Can't Stop Loving You,2005,,,
Horace Andy,Feel Good All Over: Anthology 1970-1976,Thank You Lord,1985,,,
Nazz,13th And Pine,How Can You Call That Beautiful (Stewkey Vocal),0,,,
Tyrone Davis,Call Tyrone,Cheatin' In The Next Room,0,,,
Hot Tuna,Final Vinyl,Candy Man,1971,1,,
Richard Burton,Fifteen Poems By Dylan Thomas,I See The Boys Of Summer,0,,,
Rory Block,The Early Tapes 1975-1976,Three Is a Crowd,0,,,
Boyz II Men,Legacy,On Bended Knee,1994,,,
Howard Armstrong,Louie Bluie Film Soundtrack,My Four Reasons,0,,,
Donny Hathaway,Donny Hathaway,Little Girl (LP Version),1971,,,
Miguel Gallardo,Canciones De Amor De Miguel Gallardo,Eternamente Amame,0,,,
Les Ogres De Barback,Irfan_ le hA(c)ros,Niev nietch nievitch,1999,1,,
DJ X-Change featuring DJ Joey A,What up Detroit,Come Over,0,,,
Morel,Peterbilt Angel,Blue Taxi,0,,,
Tony Joe White,Homemade Ice-Cream,I Want Love (Tween You & Me) (Album Version),0,,,
Wolfmother,White Feather,White Feather,2009,,,
The Roches,Can We Go Home Now,Christlike Roche,1995,,1,
Bob Margolin,In North Carolina,You Rascal You,0,,,
Thomas Battenstein,Wintertime,Sympathy,0,,,
Jupiter Rising,Electropop,They Say (Album),2007,,,
Dharma Bums,DUMB: 4-track cassette recordings (1987),Simon's Folly,0,,,
Saafir,The Hit List,Crawl Before You Ball (Album Version),1999,,,
The Verve Pipe,Underneath,Medicate Myself,2001,1,,
Bob Neuwirth,99 Monkeys,Biding Her Time,1990,,,
Marvin Sapp,Nothing Else Matters,More And More  (LP Version),0,,,
James Hunter,A Tribute to The American Horse,Cowboy Ways,0,,1,
Nelson Ned,Mis Momentos,Brasas Vivas,0,,,
Mish Mash,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,Kolomeyke,0,,,
Cama,In this Life,In This Life,2009,,,
Maxi Priest,Best Of Maxi Priest,Groovin' In The Midnight,1991,,,
Porcupine Tree,Signify (Special Edition),Waiting,1997,,,
Ragheb Alama,Bravo Alayki Rare recording,A'chek Ouyounik (2009 Digital Remaster),0,,,
Foo Fighters,In Your Honor,Hell,2005,,,
Shakira Featuring Wyclef Jean,Essential R&B Hit Selection,Hips Don't Lie (featuring Wyclef Jean),0,1,1,
The Avengers,20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,Juoksuhauta-twist (ElA$?mA$? juoksuhaudoissa),0,,,
Robben Ford,Talk To Your Daughter,I Got Over It (Album Version),1988,,,
Brazilian Tropical Orchestra,American Songbook - Bacharach,One Less Bell To Answer,0,,,
Gil Semedo,Nha VitA3ria,Festa,0,,,
Soda Stereo,Gira Me VerA!s Volver,Te Hacen Falta Vitaminas,1984,,,
Xmilk,Scarcity,Sense And Trick,0,,,
Dolce; Oscar G.,Fire,Fire (Oscar G Space Vocal Mix),0,,,
Britt Nicole,Hanging On (Premiere Performance Plus Track),Hanging On (Medium Key Performance Track Without Background Vocals),0,,,
Schizoid,Grim Prospects Remixes - Prospects Are Getting Grimmer,Grim Prospects (Version 2 Remix),0,,,
Toni Braxton Featuring Shaggy,Snowflakes,Christmas In Jamaica,2001,,,
Perrey And Kingsley,The Out Sound From Way In!,Gossippo Perpetuo,2001,,,
Sven Tasnadi,El Fuego De Dentro,2190 Dias Contigo,0,1,1,
Eddie,No Control,No Control,0,,,
Enthroned,Pentagrammaton,The Vitalized Shell,2010,,,
Suzanne Ciani,Pianissimo,Mozart,1989,,,
Milan Band,Milan Milan,Ciao Milan,0,,,
Johnny Osbourne,Auralux Reggae Showcase,Lend Me Your Chopper,2004,,,
Dolly Parton,Heaven,Letter To Heaven,1971,,,
Rance Allen Group,Up Above My Head,Heaven is Where The Heart Is,0,,,
Pearl Jam,Pearl Jam,Inside Job,2006,,,
Natalie Cole,Take A Look,Take A Look  (LP Version),0,,,
Mastodon,Crack The Skye,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009,,1,
Kiril Valeri,Behind The Blue,Bulgarian Dream,0,,,
Word,Matumago X Press,Amalgama,0,,,
DJ Quik,The Best of DJ Quik - Da Finale,Born and Raised In Compton,1991,1,,
Hank Locklin,RCA Country Legends,We're Gonna Go Fishin',0,,,
BT,LOOK (Original Motion Picture Soundtrack),Robbers Kill Cop,0,,,
2-4 Grooves feat. Reki D.,Relax,Relax,2009,,,
The Jordanaires,Joy In Our Hearts - The Gospel Side Of The Jordanaires,Sweet By And By,0,,,
Descendents,Enjoy!,Orgofart,1986,,,
L.A. Guns,A Nite On The Strip - Live,Bitch Is Back,1988,,,
Bare Jr.,Boo-Tay,Naked Albino,1998,,,
Shelley Fabares,The Best Of Shelley Fabares [Digital Version],Johnny Loves Me (LP Version),0,,1,
Norrie Paramor,In London_ In Love,Dearly Beloved,0,1,,
Gary Hobbs,Of My Times,The Look Of Love,0,,,
Diesel Boy,Venus Envy,Cooler Than You,1998,,,
Angelo Badalamenti,Freddy's Favorites: The Best of A Nightmare On Elm Street,Taryns Deepest Fear,0,,,
Cradle Of Filth,Bitter Suites to Succubi,Summer Dying Fast,1994,,,
Jim Chappell,Manila Nights,Still,0,,,
Ladybug,Snapshot,Snapshot,0,,,
Bandido,End Of The Road - Single,End Of The Road (Head Hornys Remix),0,,,
Brixx,7 Miles,7 Miles,0,1,,
Nine Inch Nails,Things Falling Apart,The Frail,1999,,,
Susana Seivane,Os soA+-os que volven,Para Milladoiro,2010,,,
Leland Martin,Leland Martin,Stone Cold Fingers (Bonus Track),0,,,
Test Icicles,For Screening Purposes Only,Snowball,2005,,,
Heaven 17,Endless,(We Don't Need This) Fascist Groove Thang,1981,,1,
React,That Which Does Not Kill You...Can Only Make You Stronger : Three Way Split,Drunk Alone,0,,,
Sven Tasnadi,Break The Night,Charisma,0,,,
Mance Lipscomb,Texas Songster,Going Down Slow,2000,,,
Scott Wesley Brown,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs,All Rise,0,,,
FlA!vio JosA(c),Seu Olhar NAPSo Mente,Jogo Limpo,0,,,
Moss,Never Be Scared / Don't Be A Hero,Silent Hill,2009,,,
Pery Ribeiro,S'Wonderful Movie'n Bossa,Our Love Is Here To Stay,0,,,
Soular,Time and Space,Everything Changes,0,,,
Dimmu Borgir,Death ... Is just the beginning Vol.4,Master Of Disharmony,1996,,,
Public Image Ltd,Live In Tokyo,(This Is Not A) Love Song (Live),1983,1,1,
